GEOID,Year,yield
01001,1960,0.14861854509786296
01001,1961,0.24843937072097977
01001,1962,0.14455732828163675
01001,1963,0.4679606141011362
01001,1964,0.4106520210306344
01001,1965,0.31034177875592495
01001,1966,-0.21398707902521202
01001,1967,0.19322095626776992
01001,1968,0.3379464720188867
01001,1969,0.2350139366242297
01001,1970,0.433105201552562
01001,1971,-0.14415346269163182
01001,1972,0.20057746348920108
01001,1973,0.1054937308027557
01001,1974,-0.4545576142078736
01001,1975,0.04002763429843337
01001,1976,0.2930515697973076
01001,1977,0.2597663705090383
01001,1978,0.3948999127002339
01001,1979,-0.1727229109058336
01001,1980,0.1697991984049762
01001,1981,0.1034686423740251
01001,1982,0.4736954430566237
01001,1983,0.4008490349777302
01001,1984,0.14628015556645774
01001,1985,0.11266445201267689
01001,1986,0.04061331982732623
01001,1987,0.0361228264877525
01001,1988,-0.6169229259784161
01001,1989,-0.3699212587917326
01001,1990,-0.03378028348738428
01001,1991,-0.42352157328641366
01001,1992,0.13121482113973887
01001,1993,0.2748410476508511
01001,1994,0.16817008085237906
01001,1995,-0.2746028386025151
01001,1996,-0.05133893698088651
01001,1997,-0.12276462901539428
01001,1998,-0.9269890890098426
01001,1999,-0.6116987003595868
01001,2000,-0.2356901117438867
01001,2001,-0.09714367179302277
01001,2002,-0.11674734866122576
01001,2003,-0.7115367985463109
01001,2004,-0.555267662625283
01001,2005,-0.14804503268666477
01003,1960,0.05693468758520031
01003,1961,0.12675901394760095
01003,1962,0.10199571166312271
01003,1963,0.18312408879800987
01003,1964,0.017596435545758293
01003,1965,0.0012684282283816906
01003,1966,-0.014950862658096625
01003,1967,0.06882295052541995
01003,1968,0.16015417718351022
01003,1969,0.060165057967467586
01003,1970,0.17778955913734973
01003,1971,-0.10914079911963223
01003,1972,0.036594123398580654
01003,1973,-0.009482976409659699
01003,1974,-0.2596013971071756
01003,1975,-0.022344833919494114
01003,1976,0.04116172955255824
01003,1977,0.13808944803619233
01003,1978,0.0959929921887627
01003,1979,-0.07187433482880975
01003,1980,0.0793054109394701
01003,1981,0.07126570546527203
01003,1982,0.19141884869918568
01003,1983,0.15688282032176232
01003,1984,0.060770080133882964
01003,1985,0.0038491928308722057
01003,1986,0.06904160735563908
01003,1987,-0.04939254495232426
01003,1988,-0.2697183624432689
01003,1989,-0.059602267905759135
01003,1990,0.06274555149794878
01003,1991,-0.17596499911238386
01003,1992,0.08243674823380218
01003,1993,0.1145819194490986
01003,1994,0.09333130195458667
01003,1995,-0.05341693259535382
01003,1996,-0.05440436502147461
01003,1997,-0.1208619162436878
01003,1998,-0.2753481843942235
01003,1999,-0.24683903653467265
01003,2000,-0.00043006089125394165
01003,2001,0.009724510151641011
01003,2002,-0.03254767107374932
01003,2003,-0.20744439470214152
01003,2004,-0.18799020710060196
01003,2005,-0.04044595377732027
01005,1960,0.03141220958566129
01005,1961,0.13348038486076574
01005,1962,0.045584302479531824
01005,1963,0.25374108645166626
01005,1964,0.26036199135305393
01005,1965,0.195144014047605
01005,1966,-0.0437980695792876
01005,1967,0.14098019987308485
01005,1968,0.1779607972631985
01005,1969,0.13865609571177706
01005,1970,0.2306265996937874
01005,1971,-0.03216027565454455
01005,1972,0.11457352539537378
01005,1973,0.018923264377966653
01005,1974,-0.22568181513516586
01005,1975,0.0773465623701874
01005,1976,0.15796819962315448
01005,1977,0.11243149870038038
01005,1978,0.17365182877270072
01005,1979,-0.040176424552837875
01005,1980,0.1240876806050209
01005,1981,0.05029978990690286
01005,1982,0.21770106804193062
01005,1983,0.18544322197731813
01005,1984,0.09261450841359348
01005,1985,0.060681304496161305
01005,1986,0.047562494356536325
01005,1987,0.010775889264496116
01005,1988,-0.2657804351764393
01005,1989,-0.24018631810753002
01005,1990,-0.05385477937589986
01005,1991,-0.17192666899258838
01005,1992,0.0467629107831775
01005,1993,0.18024539116380264
01005,1994,0.07037698988181151
01005,1995,-0.2125648813417617
01005,1996,-0.03518638197278026
01005,1997,-0.08185919980783334
