GEOID,gmfd_mad,gmfd_sd
01001,0.7425999999999999,0.612
01003,0.6682,0.9643
01005,0.8377,0.8246
01007,0.46029999999999993,0.8808
01009,0.9508,0.9991
01011,0.8027,0.8167
01013,0.7088,0.8383
01015,0.9403,0.9809
01017,0.8285,0.8805
01019,0.9973,0.9941
01021,0.706,0.6857
01023,0.6306,0.9553
01025,0.862,0.9858
01027,0.6918,0.9355
01029,0.8184,0.9684
01031,0.5277000000000001,0.7397
01033,0.8946,0.9293
01035,0.7137,0.9034
01037,0.9604,0.8662
01039,0.6027,0.7867
01041,0.5864,0.7813
01043,0.7006,0.9985
01045,0.6336999999999999,0.7266
01047,0.4347,0.7895
01049,0.988,0.9981
01051,0.8519,0.8057
01053,0.3647,0.9387
01055,0.94,0.9988
01057,0.9627,0.9963
01059,0.9737,0.9704
01061,0.544,0.6778
01063,0.7649,0.8861
01065,0.8699,0.8997999999999999
01067,0.8087,0.7529
01069,0.607,0.6895
01071,0.7983,0.9967
01073,0.836,0.9858
01075,0.9061,0.9949
01077,0.9696,0.9558
01079,0.9499,0.9879
01081,0.896,0.8023
01083,0.8369,0.9941
01085,0.7122999999999999,0.7226
01087,0.763,0.8366
01089,0.8691,0.9986
01091,0.8987,0.9434
01093,0.9597,0.9954
01095,0.9486,0.9997
01097,0.6640999999999999,0.9655
01099,0.6496999999999999,0.9697
01101,0.7444,0.8170999999999999
01103,0.8617,0.9991
01105,0.5158,0.8238
01107,0.7395,0.9524
01109,0.8009,0.769
01111,0.8547,0.9514
01113,0.8553,0.8088
01115,0.9077999999999999,0.9935
01117,0.7297,0.9422
01119,0.5802,0.8045
01121,0.7942,0.9406
01123,0.9591,0.9218
01125,0.9004,0.9758
01127,0.9413,0.998
01129,0.729,0.9857
01131,0.5509999999999999,0.9284
01133,0.9472,0.9973
04001,0.4123,0.6246
04003,0.9973,0.9994
04005,0.9283,0.9068
04007,0.9588,0.9768
04009,0.8691,0.9561
04011,0.8886,0.9664
04012,0.23160000000000003,0.07089999999999996
04013,0.8911,0.8981
04015,0.13990000000000002,0.4373
04017,0.8346,0.8863
04019,0.5455,0.9447
04021,0.956,0.9291
04023,0.9753000000000001,0.9973
04025,0.597,0.9523
04027,0.04679999999999995,0.11759999999999993
05001,0.9621,0.9697
05003,0.9679,0.9729
05005,0.9857,0.9918
05007,0.7633,0.953
05009,0.8154,0.9541999999999999
05011,0.954,0.9945
05013,0.9935,0.9921
05015,0.763,0.8356
05017,0.8377,0.848
05019,0.8535,0.9822
05021,0.9711,0.9734
05023,0.9751,0.9715
05025,0.9161,0.977
05027,0.9186,0.9889
05029,0.9419,0.9403
05031,0.8815999999999999,0.995
05033,0.268,0.9077999999999999
05035,0.9223,0.9959
05037,0.6966,0.995
05039,0.8783,0.9845
05041,0.9701,0.9331
05043,0.9488,0.9737
05045,0.9225,0.9496
05047,0.5559000000000001,0.8456
05049,0.9817,0.9775
05051,0.7616,0.9834
05053,0.7226,0.9662999999999999
05055,0.8758,0.9854
05057,0.8281000000000001,0.9757
05059,0.863,0.9856
05061,0.8164,0.9732
05063,0.9862,0.9814
05065,0.9973,0.9819
05067,0.8495,0.9781
05069,0.7484999999999999,0.9346
05071,0.866,0.906
05073,0.8566,0.9786
05075,0.9129,0.9687
05077,0.5289999999999999,0.9814
05079,0.9594,0.9615
05081,0.8761,0.964
05083,0.6432,0.7774
05085,0.5991,0.9656
05087,0.8506,0.8412999999999999
05089,0.9732,0.9919
05091,0.8177,0.972
05093,0.9387,0.9996
05095,0.8774,0.9694
05097,0.8197,0.9801
05099,0.6343,0.9827
05101,0.8613,0.9307
05103,0.7137,0.9916
05105,0.9592,0.9675
05107,0.7069,0.929
05109,0.9505,0.9894
05111,0.8876999999999999,0.9973
05113,0.8147,0.9385
05115,0.9474,0.9561999999999999
05117,0.5594,0.9819
05119,0.8509,0.967
05121,0.9748,0.9357
05123,0.7214,0.9957
05125,0.9404,0.9827
05127,0.7864,0.9218999999999999
05129,0.9911,0.9827
05131,0.36329999999999996,0.8603000000000001
05133,0.8205,0.9657
05135,0.9682999999999999,0.9674
05137,0.9988,0.9816
05139,0.9985,0.994
05141,0.9928,0.9712
05143,0.5764,0.9433
05145,0.7847,0.9859
05147,0.8588,0.9906
05149,0.8903,0.906
06001,0.8233,0.014100000000000001
06003,0.5528,0.18869999999999998
06005,0.7247,0.20529999999999993
06007,0.21219999999999994,0.08939999999999992
06009,0.9214,0.32119999999999993
06011,0.2521,0.01319999999999999
06013,0.7512,0.009099999999999997
06015,0.8049,0.43110000000000004
06017,0.6305000000000001,0.12869999999999993
06019,0.9261,0.37939999999999996
06021,0.3963,0.017000000000000015
06023,0.22639999999999993,0.19709999999999994
06025,0.0,0.0
06027,0.00649999999999995,0.0025999999999999357
06029,0.10249999999999992,0.25759999999999994
06031,0.7565,0.051999999999999935
06033,0.20429999999999993,0.0044999999999999485
06035,0.641,0.10119999999999996
06037,0.5608,0.3891
06039,0.9888,0.6481
06041,0.8089,0.05599999999999994
06043,0.9801,0.6409
06045,0.351,0.12
06047,0.9317,0.13729999999999998
06049,0.5562,0.7141
06051,0.8599,0.7189
06053,0.9722,0.11699999999999999
06055,0.7759,0.010599999999999943
06057,0.23629999999999995,0.14959999999999996
06059,0.26649999999999996,0.47319999999999995
06061,0.39159999999999995,0.16199999999999992
06063,0.7793,0.02299999999999991
06065,0.10939999999999994,0.05830000000000002
06067,0.5658,0.14200000000000002
06069,0.8188,0.044399999999999995
06071,9.999999999998899e-05,0.0030000000000000027
06073,0.34029999999999994,0.5822
06075,0.9787,0.34529999999999994
06077,0.5974999999999999,0.11229999999999996
06079,0.649,0.3524999999999999
06081,0.9842,0.21550000000000002
06083,0.2299,0.3759
06085,0.9512,0.07319999999999993
06087,0.9812,0.08929999999999993
06089,0.12469999999999992,0.055400000000000005
06091,0.4216,0.06379999999999997
06093,0.020399999999999974,0.09989999999999999
06095,0.7718,0.010599999999999943
06097,0.5609999999999999,0.02969999999999995
06099,0.7336,0.16949999999999998
06101,0.7039,0.04409999999999992
06103,0.246,0.07909999999999995
06105,0.013399999999999967,0.029299999999999993
06107,0.5494,0.1965
06109,0.9796,0.4595
06111,0.42679999999999996,0.48829999999999996
06113,0.6391,0.007099999999999995
06115,0.35409999999999997,0.17409999999999992
08001,0.2257,0.4638
08003,0.6247,0.34539999999999993
08005,0.13629999999999998,0.5382
08007,0.8996999999999999,0.8657
08009,0.9818,0.9989
08011,0.4859,0.9648
08013,0.4373,0.40879999999999994
08014,0.33429999999999993,0.2933
08015,0.8943,0.867
08017,0.8511,0.9289
08019,0.7365999999999999,0.8858
08021,0.8742,0.6889000000000001
08023,0.6655,0.6515
08025,0.45030000000000003,0.2919999999999999
08027,0.5344,0.3708
08029,0.25449999999999995,0.14879999999999993
08031,0.06909999999999994,0.3044
08033,0.14329999999999998,0.6508
08035,0.1048,0.4302
08037,0.9761,0.9581999999999999
08039,0.5471999999999999,0.5881000000000001
08041,0.05269999999999997,0.47309999999999997
08043,0.7625,0.6207
08045,0.2097,0.18279999999999996
08047,0.3143,0.6689
08049,0.9715,0.9054
08051,0.969,0.886
08053,0.8099000000000001,0.9727
08055,0.8838,0.7273000000000001
08057,0.40259999999999996,0.8129
08059,0.4337,0.6575
08061,0.7059,0.947
08063,0.7471,0.8260000000000001
08065,0.9697,0.9789
08067,0.74,0.6507000000000001
08069,0.14989999999999992,0.33809999999999996
08071,0.6184000000000001,0.9093
08073,0.2802,0.8366
08075,0.9842,0.9942
08077,0.013499999999999956,0.131
08079,0.692,0.9382
08081,0.2007,0.5822
08083,0.6355,0.2319
08085,0.126,0.3534999999999999
08087,0.27879999999999994,0.6559999999999999
08089,0.8879,0.5745
08091,0.7565999999999999,0.7678
08093,0.8577,0.9463
08095,0.929,0.9909
08097,0.947,0.9327
08099,0.9503,0.9883
08101,0.06009999999999993,0.6082000000000001
08103,0.12480000000000002,0.16959999999999997
08105,0.6033999999999999,0.6434
08107,0.6702,0.7908
08109,0.8593999999999999,0.5522
08111,0.898,0.967
08113,0.3013,0.6984
08115,0.6113999999999999,0.988
08117,0.8672,0.9646
08119,0.4044,0.6795
08121,0.40490000000000004,0.9356
08123,0.5439,0.5997
08125,0.8814,0.9419
09001,0.032200000000000006,0.0027999999999999137
09003,0.06340000000000001,0.0004999999999999449
09005,0.10729999999999995,0.0020000000000000018
09007,0.009399999999999964,0.00019999999999997797
09009,0.0025999999999999357,0.00029999999999996696
09011,0.0045999999999999375,0.0
09013,0.08529999999999993,9.999999999998899e-05
09015,0.08299999999999996,0.0
10001,0.03359999999999996,0.0021999999999999797
10003,0.013000000000000012,0.0042999999999999705
10005,0.36160000000000003,0.07619999999999993
11001,0.1048,0.10699999999999998
12001,0.9911,0.9995
12003,0.9905,0.9979
12005,0.6301,0.5844
12007,0.9502,0.9973
12009,0.8906,0.9922
12011,0.9953,1.0
12013,0.5548,0.5824
12015,0.9735,1.0
12017,0.994,0.998
12019,0.8653,0.9804
12021,0.9862,1.0
12023,0.9721,0.9949
12027,0.8827,0.9978
12029,0.9246,0.9701
12031,0.9174,0.9913
12033,0.48819999999999997,0.9158
12035,0.7571,0.9439
12037,0.07429999999999992,0.16710000000000003
12039,0.3627,0.7744
12041,0.922,0.9982
12043,0.9554,0.9996
12045,0.10829999999999995,0.18719999999999992
12047,0.9215,0.9848
12049,0.9263,0.9964
12051,0.9617,1.0
12053,0.9886,0.9976
12055,0.9369,0.9993
12057,0.9969,0.9879
12059,0.5409999999999999,0.5123
12061,0.9879,0.9983
12063,0.6052,0.6413
12065,0.7931,0.9485
12067,0.8153,0.939
12069,0.9639,0.9994
12071,0.9979,1.0
12073,0.5470999999999999,0.9227
12075,0.9878,0.9987
12077,0.39759999999999995,0.5348999999999999
12079,0.7079,0.9396
12081,0.9976,0.9976
12083,0.9684,0.9979
12085,0.9785,1.0
12086,0.9611999999999999,0.9999
12087,0.9835,1.0
12089,0.9911,0.9921
12091,0.4043,0.8383
12093,0.9947,0.9994
12095,0.9887,0.998
12097,0.9969,0.9996
12099,0.9853,1.0
12101,0.9937,0.9957
12103,0.9586,0.8723
12105,0.9864,0.9996
12107,0.8002,0.9706
12109,0.8698,0.9581
12111,0.9716,0.9996
12113,0.6799999999999999,0.8896999999999999
12115,0.9961,0.9986
12117,0.977,0.9949
12119,0.9681,0.9988
12121,0.9085,0.9861
12123,0.6231,0.842
12125,0.9662999999999999,0.9983
12127,0.9924,0.9776
12129,0.4698,0.77
12131,0.7090000000000001,0.6508
12133,0.5838,0.6134999999999999
13001,0.4988,0.9718
13003,0.7556,0.9517
13005,0.5759,0.9813
13007,0.8533999999999999,0.8657
13009,0.13839999999999997,0.4447
13011,0.4497,0.48639999999999994
13013,0.21909999999999996,0.43589999999999995
13015,0.8052,0.913
13017,0.4475,0.8996
13019,0.7629,0.8859
13021,0.15499999999999992,0.495
13023,0.34450000000000003,0.7888999999999999
13025,0.7024,0.9642
13027,0.7129,0.983
13029,0.7186,0.9417
13031,0.5426,0.9027
13033,0.9033,0.736
13035,0.548,0.5680000000000001
13037,0.9355,0.8647
13039,0.9662,0.992
13043,0.16359999999999997,0.7976
13045,0.6484,0.9392
13047,0.9696,0.8703000000000001
13049,0.9703,0.996
13051,0.8155,0.9715
13053,0.9573,0.8037
13055,0.9644,0.9394
13057,0.7971,0.9142
13059,0.14369999999999994,0.39139999999999997
13061,0.8747,0.795
13063,0.834,0.7555000000000001
13065,0.8041,0.9861
13067,0.3547,0.9055
13069,0.7686,0.9729
13071,0.8127,0.9408
13073,0.7982,0.6612
13075,0.7539,0.9292
13077,0.9476,0.907
13079,0.2609,0.5577
13081,0.48549999999999993,0.746
13083,0.9121,0.9526
13085,0.33429999999999993,0.8778
13087,0.6329,0.7493000000000001
13089,0.5365,0.7507
13091,0.17969999999999997,0.8955
13093,0.4163,0.6599999999999999
13095,0.9108,0.8426
13097,0.6744,0.9317
13099,0.9248,0.7316
13101,0.8357,0.9876
13103,0.8794,0.9507
13105,0.11759999999999993,0.29810000000000003
13107,0.41179999999999994,0.7446999999999999
13109,0.46699999999999997,0.9377
13111,0.9326,0.9515
13113,0.8688,0.8358
13115,0.9536,0.9356
13117,0.22260000000000002,0.7609
13119,0.4224,0.3376
13121,0.26979999999999993,0.8324
13123,0.942,0.9552
13125,0.6496,0.6894
13127,0.7666999999999999,0.9758
13129,0.9751,0.9161
13131,0.7686,0.9175
13133,0.06479999999999997,0.39469999999999994
13135,0.14779999999999993,0.6138
13137,0.5014000000000001,0.5345
13139,0.2892,0.6964
13141,0.21689999999999998,0.43809999999999993
13143,0.9506,0.9634
13145,0.8621,0.838
13147,0.13139999999999996,0.19779999999999998
13149,0.9906,0.9152
13151,0.37659999999999993,0.633
13153,0.139,0.5847
13155,0.4448,0.882
13157,0.38880000000000003,0.4448
13159,0.21839999999999993,0.45130000000000003
13161,0.7508,0.9879
13163,0.5849,0.7073
13165,0.675,0.6267
13167,0.4304,0.7475
13169,0.07229999999999992,0.51
13171,0.4265,0.665
13173,0.6626000000000001,0.9453
